
[Gradient Statistics for Epoch 1]
xlstm.layers.0.slstm.layer_norm.weight   | mean: -1.56764e+00 | std:  4.53015e+01 | min: -1.14932e+02 | max:  1.52278e+02
xlstm.layers.0.mlstm.causal_conv.conv.bias | mean:  2.37081e+01 | std:  9.76183e+01 | min: -9.59375e+01 | max:  1.64375e+02
xlstm.layers.0.mlstm.Wk.block.weight     | mean:  2.60471e-01 | std:  9.21411e+00 | min: -6.28125e+01 | max:  6.20625e+01
xlstm.layers.0.mlstm.Wk.block.bias       | mean: -2.64368e+00 | std:  3.70952e+01 | min: -1.88250e+02 | max:  1.18438e+02
xlstm.layers.0.mlstm.Wv.block.weight     | mean: -1.18529e-02 | std:  9.02264e+00 | min: -5.78750e+01 | max:  5.44375e+01
xlstm.layers.0.mlstm.Wv.block.bias       | mean: -3.15787e-01 | std:  1.11833e+01 | min: -4.02500e+01 | max:  4.51250e+01
xlstm.layers.0.mlstm.Wi.weight           | mean: -1.14509e-03 | std:  8.38832e-01 | min: -1.28281e+01 | max:  6.80078e+00
xlstm.layers.0.mlstm.Wi.bias             | mean:  9.17503e-02 | std:  2.97730e+00 | min: -1.62812e+01 | max:  1.51328e+01
xlstm.layers.0.mlstm.Wf.weight           | mean:  1.16788e-02 | std:  1.55120e+01 | min: -7.68750e+01 | max:  7.51250e+01
xlstm.layers.0.mlstm.Wf.bias             | mean: -2.76730e+00 | std:  6.44181e+01 | min: -2.71000e+02 | max:  2.48375e+02
xlstm.layers.0.mlstm.Wo.weight           | mean: -2.84450e-01 | std:  2.74513e+01 | min: -1.63125e+02 | max:  1.31500e+02
xlstm.layers.0.mlstm.Wo.bias             | mean: -8.58741e-01 | std:  3.21224e+01 | min: -1.50250e+02 | max:  1.13938e+02
classifier.weight                        | mean:  5.15622e-03 | std:  4.85418e+02 | min: -2.61400e+03 | max:  2.55200e+03
classifier.bias                          | mean:  7.14286e-03 | std:  4.62435e+03 | min: -1.24560e+04 | max:  6.69600e+03

[Gradient Statistics for Epoch 2]
xlstm.layers.0.slstm.layer_norm.weight   | mean: -8.07702e+00 | std:  4.33381e+01 | min: -1.35858e+02 | max:  1.27014e+02
xlstm.layers.0.slstm.layer_norm.bias     | mean: -1.02011e+00 | std:  4.09124e+01 | min: -1.15714e+02 | max:  9.52491e+01
xlstm.layers.0.slstm.causal_conv.conv.weight | mean: -9.80283e-02 | std:  2.70743e+02 | min: -4.95500e+02 | max:  4.61250e+02
xlstm.layers.0.slstm.causal_conv.conv.bias | mean:  6.06814e+01 | std:  9.05351e+01 | min: -4.50000e+01 | max:  2.23750e+02
xlstm.layers.0.slstm.Wz.block.weight     | mean:  5.17239e+00 | std:  3.71753e+02 | min: -2.13400e+03 | max:  1.84200e+03
xlstm.layers.0.slstm.Wz.block.bias       | mean: -3.77806e+00 | std:  4.53845e+02 | min: -1.98100e+03 | max:  1.41500e+03
xlstm.layers.0.slstm.Wi.block.weight     | mean:  3.99614e+00 | std:  2.84994e+01 | min: -1.78250e+02 | max:  2.11625e+02
xlstm.layers.0.slstm.Wi.block.bias       | mean: -5.95364e+01 | std:  1.15998e+02 | min: -5.67500e+02 | max:  2.94500e+02
xlstm.layers.0.slstm.Wf.block.weight     | mean:  2.49583e+00 | std:  1.53318e+01 | min: -9.96875e+01 | max:  9.73750e+01
xlstm.layers.0.slstm.Wf.block.bias       | mean: -3.56581e+01 | std:  6.41819e+01 | min: -2.90500e+02 | max:  1.64250e+02
xlstm.layers.0.slstm.Wo.block.weight     | mean: -2.73300e-01 | std:  7.45263e+01 | min: -3.79500e+02 | max:  5.07000e+02
xlstm.layers.0.slstm.Wo.block.bias       | mean: -4.62435e+01 | std:  9.15633e+01 | min: -4.47000e+02 | max:  2.19875e+02
xlstm.layers.0.slstm.Rz.block.weight     | mean:  5.84547e-02 | std:  5.25353e+01 | min: -3.66250e+02 | max:  4.00000e+02
xlstm.layers.0.slstm.Rz.block.bias       | mean: -3.77806e+00 | std:  4.53845e+02 | min: -1.98100e+03 | max:  1.41500e+03
xlstm.layers.0.slstm.Ri.block.weight     | mean:  9.10473e-02 | std:  1.30797e+01 | min: -9.64375e+01 | max:  1.28125e+02
xlstm.layers.0.slstm.Ri.block.bias       | mean: -5.95364e+01 | std:  1.15998e+02 | min: -5.67500e+02 | max:  2.94500e+02
xlstm.layers.0.slstm.Rf.block.weight     | mean:  6.29594e-02 | std:  7.12905e+00 | min: -5.03125e+01 | max:  6.49375e+01
xlstm.layers.0.slstm.Rf.block.bias       | mean: -3.56581e+01 | std:  6.41819e+01 | min: -2.90500e+02 | max:  1.64250e+02
xlstm.layers.0.slstm.Ro.block.weight     | mean:  7.88460e-02 | std:  1.02692e+01 | min: -7.41875e+01 | max:  8.35000e+01
xlstm.layers.0.slstm.Ro.block.bias       | mean: -4.62435e+01 | std:  9.15633e+01 | min: -4.47000e+02 | max:  2.19875e+02
xlstm.layers.0.mlstm.layer_norm.weight   | mean: -4.37503e+00 | std:  2.32739e+01 | min: -8.04251e+01 | max:  5.07903e+01
xlstm.layers.0.mlstm.layer_norm.bias     | mean: -3.52073e-01 | std:  2.49797e+01 | min: -6.08159e+01 | max:  6.46319e+01
xlstm.layers.0.mlstm.causal_conv.conv.weight | mean: -3.53748e+01 | std:  1.42989e+02 | min: -2.77250e+02 | max:  2.17875e+02
xlstm.layers.0.mlstm.causal_conv.conv.bias | mean:  1.72467e+01 | std:  1.15271e+02 | min: -1.22125e+02 | max:  2.02250e+02
xlstm.layers.0.mlstm.Wk.block.weight     | mean:  1.12765e-01 | std:  7.39664e+00 | min: -4.70000e+01 | max:  4.97188e+01
xlstm.layers.0.mlstm.Wk.block.bias       | mean: -5.85445e-01 | std:  3.15969e+01 | min: -1.19562e+02 | max:  1.28000e+02
xlstm.layers.0.mlstm.Wv.block.weight     | mean:  1.73743e-01 | std:  7.87974e+00 | min: -5.27812e+01 | max:  5.79375e+01
xlstm.layers.0.mlstm.Wv.block.bias       | mean:  5.22559e-01 | std:  9.66530e+00 | min: -3.46875e+01 | max:  4.17812e+01
xlstm.layers.0.mlstm.Wi.weight           | mean:  3.79888e-02 | std:  6.79971e-01 | min: -9.96875e+00 | max:  5.43750e+00
xlstm.layers.0.mlstm.Wi.bias             | mean: -4.67511e-01 | std:  2.32061e+00 | min: -1.35078e+01 | max:  7.60938e+00
xlstm.layers.0.mlstm.Wf.weight           | mean:  2.99673e+00 | std:  1.72829e+01 | min: -1.26562e+02 | max:  1.01062e+02
xlstm.layers.0.mlstm.Wf.bias             | mean: -4.01008e+01 | std:  7.16636e+01 | min: -3.27250e+02 | max:  1.89500e+02
xlstm.layers.0.mlstm.Wo.weight           | mean: -1.92572e-01 | std:  2.83271e+01 | min: -1.62750e+02 | max:  1.76375e+02
xlstm.layers.0.mlstm.Wo.bias             | mean: -1.86824e+01 | std:  3.56136e+01 | min: -1.78000e+02 | max:  9.43750e+01
classifier.weight                        | mean: -2.76512e-03 | std:  4.99988e+02 | min: -2.71400e+03 | max:  2.36600e+03
classifier.bias                          | mean:  3.42857e-01 | std:  4.28359e+03 | min: -1.26560e+04 | max:  7.24000e+03

[Gradient Statistics for Epoch 3]
xlstm.layers.0.slstm.layer_norm.weight   | mean: -9.28661e+00 | std:  4.25973e+01 | min: -1.19938e+02 | max:  9.75608e+01
xlstm.layers.0.slstm.layer_norm.bias     | mean: -1.83574e+00 | std:  4.78562e+01 | min: -1.11792e+02 | max:  1.34424e+02
xlstm.layers.0.slstm.causal_conv.conv.weight | mean: -2.12351e+01 | std:  3.09187e+02 | min: -6.45500e+02 | max:  4.68250e+02
xlstm.layers.0.slstm.causal_conv.conv.bias | mean:  9.49375e+01 | std:  3.59095e+02 | min: -3.90000e+02 | max:  5.36500e+02
xlstm.layers.0.slstm.Wz.block.weight     | mean:  7.40238e+00 | std:  4.08281e+02 | min: -2.07400e+03 | max:  2.10400e+03
xlstm.layers.0.slstm.Wz.block.bias       | mean: -3.55916e+00 | std:  5.31410e+02 | min: -1.63500e+03 | max:  1.45200e+03
xlstm.layers.0.slstm.Wi.block.weight     | mean:  6.84853e+00 | std:  3.33982e+01 | min: -2.26000e+02 | max:  1.65375e+02
xlstm.layers.0.slstm.Wi.block.bias       | mean: -9.04523e+01 | std:  1.30677e+02 | min: -6.15000e+02 | max:  2.50875e+02
xlstm.layers.0.slstm.Wf.block.weight     | mean:  3.97116e+00 | std:  2.04430e+01 | min: -1.62750e+02 | max:  1.05250e+02
xlstm.layers.0.slstm.Wf.block.bias       | mean: -5.32167e+01 | std:  7.92920e+01 | min: -4.07250e+02 | max:  1.28750e+02
xlstm.layers.0.slstm.Wo.block.weight     | mean: -1.98756e-01 | std:  9.28983e+01 | min: -5.29500e+02 | max:  5.80500e+02
xlstm.layers.0.slstm.Wo.block.bias       | mean: -7.26966e+01 | std:  1.08502e+02 | min: -5.91000e+02 | max:  2.75750e+02
xlstm.layers.0.slstm.Rz.block.weight     | mean: -1.38158e-01 | std:  6.69594e+01 | min: -4.08250e+02 | max:  4.03500e+02
xlstm.layers.0.slstm.Rz.block.bias       | mean: -3.55916e+00 | std:  5.31410e+02 | min: -1.63500e+03 | max:  1.45200e+03
xlstm.layers.0.slstm.Ri.block.weight     | mean:  4.33311e-01 | std:  1.96944e+01 | min: -1.63750e+02 | max:  1.38250e+02
xlstm.layers.0.slstm.Ri.block.bias       | mean: -9.04523e+01 | std:  1.30677e+02 | min: -6.15000e+02 | max:  2.50875e+02
xlstm.layers.0.slstm.Rf.block.weight     | mean:  2.90073e-01 | std:  1.24655e+01 | min: -1.31250e+02 | max:  9.90625e+01
xlstm.layers.0.slstm.Rf.block.bias       | mean: -5.32167e+01 | std:  7.92920e+01 | min: -4.07250e+02 | max:  1.28750e+02
xlstm.layers.0.slstm.Ro.block.weight     | mean:  3.63951e-01 | std:  1.61018e+01 | min: -1.36625e+02 | max:  1.15125e+02
xlstm.layers.0.slstm.Ro.block.bias       | mean: -7.26966e+01 | std:  1.08502e+02 | min: -5.91000e+02 | max:  2.75750e+02
xlstm.layers.0.mlstm.layer_norm.weight   | mean: -9.38418e+00 | std:  2.55492e+01 | min: -8.65925e+01 | max:  4.66240e+01
xlstm.layers.0.mlstm.layer_norm.bias     | mean:  7.13738e-01 | std:  3.14406e+01 | min: -8.41771e+01 | max:  9.82869e+01
xlstm.layers.0.mlstm.causal_conv.conv.weight | mean: -6.92280e+00 | std:  1.85521e+02 | min: -4.00750e+02 | max:  3.06000e+02
xlstm.layers.0.mlstm.causal_conv.conv.bias | mean:  3.39821e+01 | std:  1.02224e+02 | min: -1.56375e+02 | max:  1.25938e+02
xlstm.layers.0.mlstm.Wk.block.weight     | mean:  1.67846e-01 | std:  7.40870e+00 | min: -4.35000e+01 | max:  5.54062e+01
xlstm.layers.0.mlstm.Wk.block.bias       | mean: -9.10170e-01 | std:  3.47604e+01 | min: -1.39625e+02 | max:  1.73375e+02
xlstm.layers.0.mlstm.Wv.block.weight     | mean:  1.32211e-01 | std:  8.47614e+00 | min: -7.25625e+01 | max:  7.32500e+01
xlstm.layers.0.mlstm.Wv.block.bias       | mean:  5.66938e-01 | std:  1.05087e+01 | min: -4.78125e+01 | max:  5.03125e+01
xlstm.layers.0.mlstm.Wi.weight           | mean:  8.65865e-02 | std:  6.92202e-01 | min: -1.32266e+01 | max:  6.72656e+00
xlstm.layers.0.mlstm.Wi.bias             | mean: -8.85747e-01 | std:  2.66701e+00 | min: -1.93125e+01 | max:  7.55078e+00
xlstm.layers.0.mlstm.Wf.weight           | mean:  5.32307e+00 | std:  2.34196e+01 | min: -2.02750e+02 | max:  1.25250e+02
xlstm.layers.0.mlstm.Wf.bias             | mean: -6.22875e+01 | std:  9.42409e+01 | min: -4.88000e+02 | max:  1.56250e+02
xlstm.layers.0.mlstm.Wo.weight           | mean: -4.19867e-01 | std:  3.82992e+01 | min: -2.07125e+02 | max:  3.36000e+02
xlstm.layers.0.mlstm.Wo.bias             | mean: -2.96407e+01 | std:  4.46059e+01 | min: -2.53750e+02 | max:  8.81875e+01
classifier.weight                        | mean: -2.57547e-04 | std:  6.18514e+02 | min: -3.31800e+03 | max:  3.66000e+03
classifier.bias                          | mean: -5.17857e-02 | std:  4.53362e+03 | min: -1.25600e+04 | max:  6.89200e+03

[Gradient Statistics for Epoch 4]
xlstm.layers.0.slstm.layer_norm.weight   | mean: -1.05737e+01 | std:  6.08918e+01 | min: -2.48923e+02 | max:  1.54391e+02
xlstm.layers.0.slstm.layer_norm.bias     | mean: -1.88975e+00 | std:  6.38440e+01 | min: -1.54245e+02 | max:  1.65993e+02
xlstm.layers.0.slstm.causal_conv.conv.weight | mean: -1.93772e+01 | std:  4.00852e+02 | min: -7.42000e+02 | max:  7.60500e+02
xlstm.layers.0.slstm.causal_conv.conv.bias | mean:  4.05357e+02 | std:  1.92836e+02 | min:  1.44500e+02 | max:  6.69000e+02
xlstm.layers.0.slstm.Wz.block.weight     | mean:  6.00859e+00 | std:  4.37849e+02 | min: -2.37200e+03 | max:  2.03000e+03
xlstm.layers.0.slstm.Wz.block.bias       | mean:  5.05190e+00 | std:  5.85320e+02 | min: -2.91600e+03 | max:  2.38400e+03
xlstm.layers.0.slstm.Wi.block.weight     | mean:  8.61573e+00 | std:  3.75635e+01 | min: -2.00625e+02 | max:  1.91500e+02
xlstm.layers.0.slstm.Wi.block.bias       | mean: -1.10818e+02 | std:  1.53084e+02 | min: -5.42500e+02 | max:  4.14500e+02
xlstm.layers.0.slstm.Wf.block.weight     | mean:  6.04684e+00 | std:  2.57059e+01 | min: -1.96125e+02 | max:  1.33000e+02
xlstm.layers.0.slstm.Wf.block.bias       | mean: -7.81324e+01 | std:  1.06137e+02 | min: -5.13000e+02 | max:  3.00000e+02
xlstm.layers.0.slstm.Wo.block.weight     | mean:  4.14538e-01 | std:  1.05196e+02 | min: -6.16500e+02 | max:  6.83500e+02
xlstm.layers.0.slstm.Wo.block.bias       | mean: -8.98220e+01 | std:  1.26974e+02 | min: -5.21000e+02 | max:  3.39250e+02
xlstm.layers.0.slstm.Rz.block.weight     | mean: -9.03691e-02 | std:  8.97479e+01 | min: -5.79000e+02 | max:  6.39000e+02
xlstm.layers.0.slstm.Rz.block.bias       | mean:  5.05190e+00 | std:  5.85320e+02 | min: -2.91600e+03 | max:  2.38400e+03
xlstm.layers.0.slstm.Ri.block.weight     | mean:  8.00936e-01 | std:  2.72677e+01 | min: -2.26250e+02 | max:  1.67875e+02
xlstm.layers.0.slstm.Ri.block.bias       | mean: -1.10818e+02 | std:  1.53084e+02 | min: -5.42500e+02 | max:  4.14500e+02
xlstm.layers.0.slstm.Rf.block.weight     | mean:  5.69726e-01 | std:  1.94404e+01 | min: -2.15750e+02 | max:  1.53875e+02
xlstm.layers.0.slstm.Rf.block.bias       | mean: -7.81324e+01 | std:  1.06137e+02 | min: -5.13000e+02 | max:  3.00000e+02
xlstm.layers.0.slstm.Ro.block.weight     | mean:  6.46263e-01 | std:  2.26627e+01 | min: -1.95375e+02 | max:  1.31125e+02
xlstm.layers.0.slstm.Ro.block.bias       | mean: -8.98220e+01 | std:  1.26974e+02 | min: -5.21000e+02 | max:  3.39250e+02
xlstm.layers.0.mlstm.layer_norm.weight   | mean: -1.32741e+01 | std:  4.87325e+01 | min: -2.81334e+02 | max:  7.84407e+01
xlstm.layers.0.mlstm.layer_norm.bias     | mean:  2.92693e+00 | std:  4.81158e+01 | min: -1.34056e+02 | max:  1.38356e+02
xlstm.layers.0.mlstm.causal_conv.conv.weight | mean:  8.81864e+00 | std:  3.03006e+02 | min: -6.11500e+02 | max:  6.99500e+02
xlstm.layers.0.mlstm.causal_conv.conv.bias | mean:  1.79013e+02 | std:  1.45461e+02 | min: -4.94375e+01 | max:  3.46000e+02
xlstm.layers.0.mlstm.Wk.block.weight     | mean:  3.14007e-01 | std:  7.76349e+00 | min: -5.92500e+01 | max:  7.33750e+01
xlstm.layers.0.mlstm.Wk.block.bias       | mean: -2.69629e+00 | std:  3.38864e+01 | min: -1.75000e+02 | max:  1.46000e+02
xlstm.layers.0.mlstm.Wv.block.weight     | mean:  7.22074e-02 | std:  9.86007e+00 | min: -1.51250e+02 | max:  1.10562e+02
xlstm.layers.0.mlstm.Wv.block.bias       | mean:  4.48652e-01 | std:  1.15054e+01 | min: -1.11875e+02 | max:  4.37500e+01
xlstm.layers.0.mlstm.Wi.weight           | mean:  7.84146e-02 | std:  8.34230e-01 | min: -1.89844e+01 | max:  8.07031e+00
xlstm.layers.0.mlstm.Wi.bias             | mean: -9.15021e-01 | std:  3.36374e+00 | min: -2.68281e+01 | max:  3.32188e+01
xlstm.layers.0.mlstm.Wf.weight           | mean:  8.17316e+00 | std:  3.23031e+01 | min: -3.16750e+02 | max:  1.73500e+02
xlstm.layers.0.mlstm.Wf.bias             | mean: -9.66044e+01 | std:  1.32631e+02 | min: -7.02500e+02 | max:  3.39000e+02
xlstm.layers.0.mlstm.Wo.weight           | mean: -4.31113e-02 | std:  4.98175e+01 | min: -2.46250e+02 | max:  6.65000e+02
xlstm.layers.0.mlstm.Wo.bias             | mean: -4.28126e+01 | std:  6.00108e+01 | min: -2.51875e+02 | max:  1.72000e+02
classifier.weight                        | mean: -1.05291e-03 | std:  6.92064e+02 | min: -3.45800e+03 | max:  4.13200e+03
classifier.bias                          | mean: -3.08036e-02 | std:  3.83855e+03 | min: -7.72000e+03 | max:  1.05120e+04

[Gradient Statistics for Epoch 5]
xlstm.layers.0.slstm.layer_norm.weight   | mean: -8.22023e+00 | std:  7.27820e+01 | min: -2.62785e+02 | max:  1.32166e+02
xlstm.layers.0.slstm.layer_norm.bias     | mean: -9.01953e-01 | std:  8.62590e+01 | min: -2.06915e+02 | max:  1.93639e+02
xlstm.layers.0.slstm.causal_conv.conv.weight | mean: -7.79003e+01 | std:  4.04663e+02 | min: -8.28500e+02 | max:  6.38000e+02
xlstm.layers.0.slstm.causal_conv.conv.bias | mean:  3.31089e+02 | std:  4.59829e+02 | min: -2.29750e+02 | max:  9.44500e+02
xlstm.layers.0.slstm.Wz.block.weight     | mean:  6.45799e+00 | std:  4.75791e+02 | min: -3.19600e+03 | max:  2.46200e+03
xlstm.layers.0.slstm.Wz.block.bias       | mean:  2.85335e-01 | std:  7.15174e+02 | min: -1.90400e+03 | max:  2.43000e+03
xlstm.layers.0.slstm.Wi.block.weight     | mean:  4.60167e+00 | std:  3.97065e+01 | min: -1.79000e+02 | max:  1.65625e+02
xlstm.layers.0.slstm.Wi.block.bias       | mean: -5.01803e+01 | std:  1.70049e+02 | min: -7.02000e+02 | max:  4.62250e+02
xlstm.layers.0.slstm.Wf.block.weight     | mean:  3.20920e+00 | std:  2.90436e+01 | min: -1.42375e+02 | max:  1.41500e+02
xlstm.layers.0.slstm.Wf.block.bias       | mean: -3.87533e+01 | std:  1.25866e+02 | min: -6.14500e+02 | max:  3.74750e+02
xlstm.layers.0.slstm.Wo.block.weight     | mean:  2.12764e+00 | std:  1.09755e+02 | min: -6.05000e+02 | max:  6.37000e+02
xlstm.layers.0.slstm.Wo.block.bias       | mean: -4.41521e+01 | std:  1.43446e+02 | min: -6.32000e+02 | max:  3.65000e+02
xlstm.layers.0.slstm.Rz.block.weight     | mean: -7.06325e-01 | std:  1.13622e+02 | min: -8.76500e+02 | max:  9.75000e+02
xlstm.layers.0.slstm.Rz.block.bias       | mean:  2.85335e-01 | std:  7.15174e+02 | min: -1.90400e+03 | max:  2.43000e+03
xlstm.layers.0.slstm.Ri.block.weight     | mean: -5.34879e-02 | std:  3.02259e+01 | min: -2.33750e+02 | max:  2.45375e+02
xlstm.layers.0.slstm.Ri.block.bias       | mean: -5.01803e+01 | std:  1.70049e+02 | min: -7.02000e+02 | max:  4.62250e+02
xlstm.layers.0.slstm.Rf.block.weight     | mean:  4.06652e-02 | std:  2.30073e+01 | min: -2.03250e+02 | max:  1.97750e+02
xlstm.layers.0.slstm.Rf.block.bias       | mean: -3.87533e+01 | std:  1.25866e+02 | min: -6.14500e+02 | max:  3.74750e+02
xlstm.layers.0.slstm.Ro.block.weight     | mean: -3.42350e-03 | std:  2.63638e+01 | min: -1.75625e+02 | max:  1.97250e+02
xlstm.layers.0.slstm.Ro.block.bias       | mean: -4.41521e+01 | std:  1.43446e+02 | min: -6.32000e+02 | max:  3.65000e+02
xlstm.layers.0.mlstm.layer_norm.weight   | mean: -1.25246e+01 | std:  5.29639e+01 | min: -2.17730e+02 | max:  9.94131e+01
xlstm.layers.0.mlstm.layer_norm.bias     | mean:  3.40210e+00 | std:  5.41205e+01 | min: -1.27142e+02 | max:  1.49249e+02
xlstm.layers.0.mlstm.causal_conv.conv.weight | mean:  8.65253e+00 | std:  2.72414e+02 | min: -4.81500e+02 | max:  5.74500e+02
xlstm.layers.0.mlstm.causal_conv.conv.bias | mean:  1.37929e+02 | std:  2.33449e+02 | min: -1.16375e+02 | max:  5.49500e+02
xlstm.layers.0.mlstm.Wk.block.weight     | mean:  3.51749e-01 | std:  7.34140e+00 | min: -5.45625e+01 | max:  6.68125e+01
xlstm.layers.0.mlstm.Wk.block.bias       | mean: -2.37282e+00 | std:  3.01046e+01 | min: -1.52125e+02 | max:  9.70000e+01
xlstm.layers.0.mlstm.Wv.block.weight     | mean: -7.32185e-02 | std:  1.00516e+01 | min: -8.66875e+01 | max:  7.06250e+01
xlstm.layers.0.mlstm.Wv.block.bias       | mean: -1.49166e+00 | std:  1.28391e+01 | min: -4.99375e+01 | max:  5.81250e+01
xlstm.layers.0.mlstm.Wi.weight           | mean:  7.40700e-02 | std:  7.81370e-01 | min: -1.04141e+01 | max:  1.10156e+01
xlstm.layers.0.mlstm.Wi.bias             | mean: -7.22513e-01 | std:  2.82746e+00 | min: -2.10000e+01 | max:  1.95625e+01
xlstm.layers.0.mlstm.Wf.weight           | mean:  4.53462e+00 | std:  3.90116e+01 | min: -2.49875e+02 | max:  2.12375e+02
xlstm.layers.0.mlstm.Wf.bias             | mean: -5.55943e+01 | std:  1.60577e+02 | min: -7.96000e+02 | max:  5.35500e+02
xlstm.layers.0.mlstm.Wo.weight           | mean:  1.64559e+00 | std:  5.45745e+01 | min: -3.39500e+02 | max:  4.12250e+02
xlstm.layers.0.mlstm.Wo.bias             | mean: -2.48768e+01 | std:  7.14422e+01 | min: -3.58750e+02 | max:  1.86750e+02
classifier.weight                        | mean: -1.58144e-03 | std:  7.63890e+02 | min: -3.93200e+03 | max:  4.44800e+03
classifier.bias                          | mean:  5.04464e-02 | std:  4.40690e+03 | min: -1.61520e+04 | max:  9.62400e+03

[Gradient Statistics for Epoch 6]
xlstm.layers.0.slstm.layer_norm.weight   | mean: -1.76978e+01 | std:  8.61628e+01 | min: -3.01156e+02 | max:  2.15387e+02
xlstm.layers.0.slstm.layer_norm.bias     | mean: -1.99421e+00 | std:  6.01062e+01 | min: -1.65635e+02 | max:  1.77138e+02
xlstm.layers.0.slstm.causal_conv.conv.weight | mean: -3.72403e+01 | std:  3.80152e+02 | min: -7.80000e+02 | max:  7.57000e+02
xlstm.layers.0.slstm.causal_conv.conv.bias | mean:  2.97960e+02 | std:  5.32855e+02 | min: -4.63500e+02 | max:  1.04300e+03
xlstm.layers.0.slstm.Wz.block.weight     | mean:  1.16102e+01 | std:  5.72034e+02 | min: -3.02600e+03 | max:  5.02400e+03
xlstm.layers.0.slstm.Wz.block.bias       | mean: -1.41985e+01 | std:  7.45134e+02 | min: -3.30600e+03 | max:  3.35600e+03
xlstm.layers.0.slstm.Wi.block.weight     | mean:  7.86342e+00 | std:  3.83071e+01 | min: -1.92000e+02 | max:  2.11250e+02
xlstm.layers.0.slstm.Wi.block.bias       | mean: -7.79476e+01 | std:  1.45715e+02 | min: -4.94250e+02 | max:  5.19500e+02
xlstm.layers.0.slstm.Wf.block.weight     | mean:  7.04192e+00 | std:  3.00854e+01 | min: -1.66000e+02 | max:  1.78625e+02
xlstm.layers.0.slstm.Wf.block.bias       | mean: -6.91564e+01 | std:  1.16565e+02 | min: -4.49500e+02 | max:  3.45000e+02
xlstm.layers.0.slstm.Wo.block.weight     | mean:  1.04555e+00 | std:  1.22587e+02 | min: -7.28500e+02 | max:  6.71500e+02
xlstm.layers.0.slstm.Wo.block.bias       | mean: -7.29732e+01 | std:  1.28040e+02 | min: -4.63000e+02 | max:  3.31500e+02
