
[Gradient Statistics for Epoch 1]
xlstm.layers.0.slstm.layer_norm.weight   | mean: -3.37321e+00 | std:  2.86956e+01 | min: -1.05234e+02 | max:  6.15710e+01
xlstm.layers.0.slstm.layer_norm.bias     | mean: -1.76992e+01 | std:  2.31540e+01 | min: -6.39358e+01 | max:  3.27833e+01
xlstm.layers.0.slstm.causal_conv.conv.weight | mean: -1.22144e+01 | std:  1.41505e+02 | min: -2.32125e+02 | max:  2.17625e+02
xlstm.layers.0.slstm.causal_conv.conv.bias | mean:  6.22042e+02 | std:  3.57080e+02 | min:  2.49625e+02 | max:  9.61500e+02
xlstm.layers.0.slstm.Wz.block.weight     | mean: -7.03530e+00 | std:  3.45585e+02 | min: -1.62100e+03 | max:  2.05400e+03
xlstm.layers.0.slstm.Wz.block.bias       | mean: -5.22678e+01 | std:  4.68753e+02 | min: -1.93300e+03 | max:  1.27300e+03
xlstm.layers.0.slstm.Wi.block.weight     | mean:  4.81208e+00 | std:  2.01604e+01 | min: -7.61875e+01 | max:  7.38125e+01
xlstm.layers.0.slstm.Wi.block.bias       | mean: -5.78209e+01 | std:  1.51247e+02 | min: -4.45500e+02 | max:  4.46000e+02
xlstm.layers.0.slstm.Wf.block.weight     | mean:  3.99901e+00 | std:  1.54185e+01 | min: -6.56250e+01 | max:  7.76875e+01
xlstm.layers.0.slstm.Wf.block.bias       | mean: -4.67440e+01 | std:  1.21575e+02 | min: -3.69750e+02 | max:  3.19000e+02
xlstm.layers.0.slstm.Wo.block.weight     | mean: -6.17415e+00 | std:  1.06626e+02 | min: -5.17500e+02 | max:  5.76500e+02
xlstm.layers.0.slstm.Wo.block.bias       | mean: -3.83479e+01 | std:  1.39411e+02 | min: -3.88250e+02 | max:  4.37500e+02
xlstm.layers.0.slstm.Rz.block.weight     | mean: -1.81489e+00 | std:  9.22993e+01 | min: -6.41500e+02 | max:  6.06000e+02
xlstm.layers.0.slstm.Rz.block.bias       | mean: -5.22678e+01 | std:  4.68753e+02 | min: -1.93300e+03 | max:  1.27300e+03
xlstm.layers.0.slstm.Ri.block.weight     | mean:  2.95609e+00 | std:  3.16539e+01 | min: -1.63250e+02 | max:  1.70625e+02
xlstm.layers.0.slstm.Ri.block.bias       | mean: -5.78209e+01 | std:  1.51247e+02 | min: -4.45500e+02 | max:  4.46000e+02
xlstm.layers.0.slstm.Rf.block.weight     | mean:  2.39957e+00 | std:  2.54629e+01 | min: -1.64375e+02 | max:  1.86250e+02
xlstm.layers.0.slstm.Rf.block.bias       | mean: -4.67440e+01 | std:  1.21575e+02 | min: -3.69750e+02 | max:  3.19000e+02
xlstm.layers.0.slstm.Ro.block.weight     | mean:  2.31049e+00 | std:  2.81988e+01 | min: -1.33000e+02 | max:  1.99000e+02
xlstm.layers.0.slstm.Ro.block.bias       | mean: -3.83479e+01 | std:  1.39411e+02 | min: -3.88250e+02 | max:  4.37500e+02
xlstm.layers.0.mlstm.layer_norm.weight   | mean: -4.33919e+01 | std:  1.02554e+02 | min: -3.31969e+02 | max:  1.94685e+02
xlstm.layers.0.mlstm.layer_norm.bias     | mean:  2.45187e+01 | std:  1.44011e+02 | min: -3.86437e+02 | max:  4.37009e+02
xlstm.layers.0.mlstm.causal_conv.conv.weight | mean:  5.07500e+01 | std:  8.02873e+02 | min: -1.24600e+03 | max:  1.14600e+03
xlstm.layers.0.mlstm.causal_conv.conv.bias | mean: -8.07667e+02 | std:  4.09125e+02 | min: -1.18900e+03 | max: -3.75500e+02
xlstm.layers.0.mlstm.Wk.block.weight     | mean:  5.11928e-01 | std:  2.56042e+01 | min: -1.54625e+02 | max:  1.33625e+02
xlstm.layers.0.mlstm.Wk.block.bias       | mean:  3.67553e+00 | std:  5.76909e+01 | min: -1.59125e+02 | max:  1.73000e+02
xlstm.layers.0.mlstm.Wv.block.weight     | mean: -1.70847e+00 | std:  2.75286e+01 | min: -2.00250e+02 | max:  1.41000e+02
xlstm.layers.0.mlstm.Wv.block.bias       | mean:  5.86234e+00 | std:  3.55756e+01 | min: -9.85625e+01 | max:  1.54500e+02
xlstm.layers.0.mlstm.Wi.weight           | mean: -5.09366e-01 | std:  5.76155e+00 | min: -8.55625e+01 | max:  5.32188e+01
xlstm.layers.0.mlstm.Wi.bias             | mean: -3.47918e+00 | std:  1.13218e+01 | min: -4.73438e+01 | max:  3.49375e+01
xlstm.layers.0.mlstm.Wf.weight           | mean: -9.00991e+00 | std:  6.02369e+01 | min: -3.58500e+02 | max:  3.55750e+02
xlstm.layers.0.mlstm.Wf.bias             | mean: -5.61857e+01 | std:  1.51464e+02 | min: -4.40500e+02 | max:  4.19750e+02
xlstm.layers.0.mlstm.Wo.weight           | mean: -2.72380e+00 | std:  5.63314e+01 | min: -2.64000e+02 | max:  3.45750e+02
xlstm.layers.0.mlstm.Wo.bias             | mean: -2.44995e+01 | std:  7.11435e+01 | min: -2.07375e+02 | max:  1.87125e+02
classifier.weight                        | mean: -9.38848e-03 | std:  5.74336e+02 | min: -2.44000e+03 | max:  2.53800e+03
classifier.bias                          | mean:  2.52083e-01 | std:  2.91591e+03 | min: -5.72400e+03 | max:  7.36400e+03

[Gradient Statistics for Epoch 3]
xlstm.layers.0.slstm.layer_norm.weight   | mean:  5.20129e+00 | std:  3.58370e+01 | min: -6.51713e+01 | max:  1.07843e+02
xlstm.layers.0.slstm.layer_norm.bias     | mean: -3.24767e+01 | std:  2.89714e+01 | min: -9.24560e+01 | max:  2.27343e+01
xlstm.layers.0.slstm.causal_conv.conv.weight | mean: -2.13194e+01 | std:  9.68997e+01 | min: -1.50375e+02 | max:  1.06812e+02
xlstm.layers.0.slstm.causal_conv.conv.bias | mean:  1.05338e+03 | std:  7.02723e+02 | min:  2.42125e+02 | max:  1.47400e+03
xlstm.layers.0.slstm.Wz.block.weight     | mean:  1.20708e+01 | std:  5.27440e+02 | min: -2.94400e+03 | max:  2.78000e+03
xlstm.layers.0.slstm.Wz.block.bias       | mean: -5.24913e+01 | std:  4.81791e+02 | min: -1.52700e+03 | max:  1.37800e+03
xlstm.layers.0.slstm.Wi.block.weight     | mean:  5.78990e+00 | std:  2.39464e+01 | min: -7.38125e+01 | max:  1.06625e+02
xlstm.layers.0.slstm.Wi.block.bias       | mean: -4.49647e+01 | std:  1.45719e+02 | min: -4.74750e+02 | max:  2.53250e+02
xlstm.layers.0.slstm.Wf.block.weight     | mean:  8.69039e+00 | std:  2.26886e+01 | min: -7.46250e+01 | max:  1.52375e+02
xlstm.layers.0.slstm.Wf.block.bias       | mean: -6.59088e+01 | std:  1.37750e+02 | min: -6.62000e+02 | max:  1.49125e+02
xlstm.layers.0.slstm.Wo.block.weight     | mean: -4.01004e+00 | std:  9.88868e+01 | min: -5.25000e+02 | max:  4.09000e+02
xlstm.layers.0.slstm.Wo.block.bias       | mean: -4.18865e+01 | std:  1.34749e+02 | min: -4.07750e+02 | max:  2.30250e+02
xlstm.layers.0.slstm.Rz.block.weight     | mean:  7.22427e-01 | std:  1.76799e+02 | min: -1.34600e+03 | max:  1.14500e+03
xlstm.layers.0.slstm.Rz.block.bias       | mean: -5.24913e+01 | std:  4.81791e+02 | min: -1.52700e+03 | max:  1.37800e+03
xlstm.layers.0.slstm.Ri.block.weight     | mean:  1.16477e+00 | std:  3.58441e+01 | min: -2.31500e+02 | max:  1.86500e+02
xlstm.layers.0.slstm.Ri.block.bias       | mean: -4.49647e+01 | std:  1.45719e+02 | min: -4.74750e+02 | max:  2.53250e+02
xlstm.layers.0.slstm.Rf.block.weight     | mean:  1.64560e+00 | std:  3.66013e+01 | min: -2.31125e+02 | max:  2.40375e+02
xlstm.layers.0.slstm.Rf.block.bias       | mean: -6.59088e+01 | std:  1.37750e+02 | min: -6.62000e+02 | max:  1.49125e+02
xlstm.layers.0.slstm.Ro.block.weight     | mean:  1.36077e+00 | std:  3.27522e+01 | min: -1.48500e+02 | max:  2.14875e+02
xlstm.layers.0.slstm.Ro.block.bias       | mean: -4.18865e+01 | std:  1.34749e+02 | min: -4.07750e+02 | max:  2.30250e+02
xlstm.layers.0.mlstm.layer_norm.weight   | mean: -7.85591e+01 | std:  1.37607e+02 | min: -4.72994e+02 | max:  2.36957e+02
xlstm.layers.0.mlstm.layer_norm.bias     | mean:  6.33790e+01 | std:  1.21443e+02 | min: -1.82417e+02 | max:  3.64147e+02
xlstm.layers.0.mlstm.causal_conv.conv.weight | mean:  5.82444e+02 | std:  9.13058e+02 | min: -5.35500e+02 | max:  2.19800e+03
xlstm.layers.0.mlstm.causal_conv.conv.bias | mean: -1.77417e+03 | std:  8.40434e+02 | min: -2.45400e+03 | max: -8.34500e+02
xlstm.layers.0.mlstm.Wk.block.weight     | mean: -1.39232e-03 | std:  4.91398e+01 | min: -4.85250e+02 | max:  3.68750e+02
xlstm.layers.0.mlstm.Wk.block.bias       | mean:  1.08649e+00 | std:  8.33665e+01 | min: -2.18875e+02 | max:  3.35250e+02
xlstm.layers.0.mlstm.Wv.block.weight     | mean: -1.95887e+00 | std:  5.33892e+01 | min: -3.83000e+02 | max:  3.98750e+02
xlstm.layers.0.mlstm.Wv.block.bias       | mean: -5.82921e+00 | std:  6.31018e+01 | min: -1.80500e+02 | max:  2.41250e+02
xlstm.layers.0.mlstm.Wi.weight           | mean: -1.02268e+00 | std:  1.36988e+01 | min: -2.04250e+02 | max:  1.26125e+02
xlstm.layers.0.mlstm.Wi.bias             | mean: -3.68712e+00 | std:  2.04200e+01 | min: -8.85625e+01 | max:  7.25625e+01
xlstm.layers.0.mlstm.Wf.weight           | mean: -2.39377e+01 | std:  9.91661e+01 | min: -1.03800e+03 | max:  2.66000e+02
xlstm.layers.0.mlstm.Wf.bias             | mean: -8.11673e+01 | std:  1.60973e+02 | min: -7.32500e+02 | max:  1.81750e+02
xlstm.layers.0.mlstm.Wo.weight           | mean:  1.17942e-01 | std:  6.80167e+01 | min: -3.61250e+02 | max:  3.28000e+02
xlstm.layers.0.mlstm.Wo.bias             | mean: -3.78393e+01 | std:  8.32680e+01 | min: -2.96500e+02 | max:  1.42625e+02
classifier.weight                        | mean:  7.12687e-03 | std:  6.59099e+02 | min: -2.20600e+03 | max:  2.75800e+03
classifier.bias                          | mean:  6.54948e-02 | std:  2.01119e+03 | min: -4.29600e+03 | max:  3.60600e+03

[Gradient Statistics for Epoch 4]
xlstm.layers.0.slstm.layer_norm.weight   | mean: -6.00981e+00 | std:  5.15397e+01 | min: -1.82351e+02 | max:  1.04220e+02
xlstm.layers.0.slstm.layer_norm.bias     | mean:  1.29587e+01 | std:  7.25579e+01 | min: -1.27795e+02 | max:  1.72331e+02
xlstm.layers.0.slstm.causal_conv.conv.weight | mean: -2.82572e+01 | std:  1.54936e+02 | min: -2.49750e+02 | max:  2.42125e+02
xlstm.layers.0.slstm.causal_conv.conv.bias | mean: -3.53000e+02 | std:  2.30066e+03 | min: -2.74800e+03 | max:  1.84000e+03
xlstm.layers.0.slstm.Wz.block.weight     | mean: -1.44055e+01 | std:  1.10786e+03 | min: -6.72000e+03 | max:  7.70800e+03
xlstm.layers.0.slstm.Wz.block.bias       | mean: -4.90312e+01 | std:  1.39978e+03 | min: -4.86800e+03 | max:  3.77200e+03
xlstm.layers.0.slstm.Wi.block.weight     | mean:  2.93469e-01 | std:  4.38464e+01 | min: -2.11125e+02 | max:  1.35375e+02
xlstm.layers.0.slstm.Wi.block.bias       | mean: -4.81706e+00 | std:  2.35343e+02 | min: -5.21000e+02 | max:  9.30500e+02
xlstm.layers.0.slstm.Wf.block.weight     | mean:  1.14254e+00 | std:  5.72792e+01 | min: -2.96500e+02 | max:  1.67875e+02
xlstm.layers.0.slstm.Wf.block.bias       | mean: -1.15397e+01 | std:  3.06733e+02 | min: -7.00000e+02 | max:  1.18700e+03
xlstm.layers.0.slstm.Wo.block.weight     | mean:  4.08779e+00 | std:  1.64170e+02 | min: -8.47500e+02 | max:  7.02500e+02
xlstm.layers.0.slstm.Wo.block.bias       | mean: -3.16410e+00 | std:  2.38969e+02 | min: -4.65500e+02 | max:  1.03800e+03
xlstm.layers.0.slstm.Rz.block.weight     | mean:  4.23972e+00 | std:  5.21479e+02 | min: -5.93600e+03 | max:  5.48400e+03
xlstm.layers.0.slstm.Rz.block.bias       | mean: -4.90312e+01 | std:  1.39978e+03 | min: -4.86800e+03 | max:  3.77200e+03
xlstm.layers.0.slstm.Ri.block.weight     | mean: -2.83011e-01 | std:  6.71395e+01 | min: -3.73250e+02 | max:  3.61000e+02
xlstm.layers.0.slstm.Ri.block.bias       | mean: -4.81706e+00 | std:  2.35343e+02 | min: -5.21000e+02 | max:  9.30500e+02
xlstm.layers.0.slstm.Rf.block.weight     | mean: -4.27658e-02 | std:  9.31723e+01 | min: -6.22000e+02 | max:  7.37500e+02
xlstm.layers.0.slstm.Rf.block.bias       | mean: -1.15397e+01 | std:  3.06733e+02 | min: -7.00000e+02 | max:  1.18700e+03
xlstm.layers.0.slstm.Ro.block.weight     | mean:  4.40678e-01 | std:  7.54506e+01 | min: -4.85750e+02 | max:  6.07500e+02
xlstm.layers.0.slstm.Ro.block.bias       | mean: -3.16410e+00 | std:  2.38969e+02 | min: -4.65500e+02 | max:  1.03800e+03
xlstm.layers.0.mlstm.layer_norm.weight   | mean: -5.84909e+01 | std:  4.33217e+02 | min: -1.75345e+03 | max:  6.21938e+02
xlstm.layers.0.mlstm.layer_norm.bias     | mean: -2.47851e+01 | std:  4.33421e+02 | min: -1.01501e+03 | max:  1.55342e+03
xlstm.layers.0.mlstm.causal_conv.conv.weight | mean: -2.03979e+02 | std:  2.08491e+03 | min: -3.42800e+03 | max:  4.00200e+03
xlstm.layers.0.mlstm.causal_conv.conv.bias | mean:  2.81917e+02 | std:  3.25509e+03 | min: -3.05200e+03 | max:  3.45200e+03
xlstm.layers.0.mlstm.Wk.block.weight     | mean: -2.37315e-02 | std:  1.36550e+02 | min: -1.17900e+03 | max:  1.43700e+03
xlstm.layers.0.mlstm.Wk.block.bias       | mean: -6.95658e+00 | std:  1.82014e+02 | min: -6.71000e+02 | max:  5.33000e+02
xlstm.layers.0.mlstm.Wv.block.weight     | mean:  1.82812e+00 | std:  1.62266e+02 | min: -1.41600e+03 | max:  1.52700e+03
xlstm.layers.0.mlstm.Wv.block.bias       | mean: -8.50564e+00 | std:  1.88781e+02 | min: -5.83500e+02 | max:  6.41500e+02
xlstm.layers.0.mlstm.Wi.weight           | mean: -2.02247e+00 | std:  3.77763e+01 | min: -4.65500e+02 | max:  3.02250e+02
xlstm.layers.0.mlstm.Wi.bias             | mean: -6.05233e+00 | std:  5.08994e+01 | min: -2.62000e+02 | max:  1.49625e+02
xlstm.layers.0.mlstm.Wf.weight           | mean: -4.61737e+00 | std:  2.11928e+02 | min: -1.18100e+03 | max:  1.69500e+03
xlstm.layers.0.mlstm.Wf.bias             | mean: -1.18476e+01 | std:  2.97585e+02 | min: -5.25000e+02 | max:  1.29100e+03
xlstm.layers.0.mlstm.Wo.weight           | mean:  8.63195e+00 | std:  1.37385e+02 | min: -1.00750e+03 | max:  6.45500e+02
xlstm.layers.0.mlstm.Wo.bias             | mean: -4.15328e+00 | std:  2.04267e+02 | min: -4.69000e+02 | max:  8.28000e+02
classifier.weight                        | mean: -3.25648e-04 | std:  9.70496e+02 | min: -4.95600e+03 | max:  4.32000e+03
classifier.bias                          | mean: -6.25000e-02 | std:  2.84426e+03 | min: -5.91200e+03 | max:  3.89600e+03

[Gradient Statistics for Epoch 5]
xlstm.layers.0.slstm.layer_norm.weight   | mean:  1.83402e+01 | std:  6.20078e+01 | min: -1.41817e+02 | max:  1.34869e+02
xlstm.layers.0.slstm.layer_norm.bias     | mean: -4.60323e+01 | std:  8.65852e+01 | min: -2.38410e+02 | max:  5.75316e+01
xlstm.layers.0.slstm.causal_conv.conv.weight | mean:  1.58160e+01 | std:  2.70890e+02 | min: -3.10250e+02 | max:  5.83000e+02
xlstm.layers.0.slstm.causal_conv.conv.bias | mean:  1.35658e+03 | std:  2.63302e+03 | min: -2.28250e+02 | max:  4.39600e+03
xlstm.layers.0.slstm.Wz.block.weight     | mean: -4.61700e+01 | std:  1.27650e+03 | min: -1.71840e+04 | max:  1.14400e+04
xlstm.layers.0.slstm.Wz.block.bias       | mean:  2.03432e+02 | std:  1.60038e+03 | min: -7.32000e+03 | max:  4.79600e+03
xlstm.layers.0.slstm.Wi.block.weight     | mean:  5.52425e+00 | std:  4.25896e+01 | min: -1.50625e+02 | max:  1.25875e+02
xlstm.layers.0.slstm.Wi.block.bias       | mean: -3.27318e+01 | std:  2.20365e+02 | min: -5.80000e+02 | max:  6.14500e+02
xlstm.layers.0.slstm.Wf.block.weight     | mean:  1.36898e+01 | std:  6.53131e+01 | min: -2.22875e+02 | max:  3.79000e+02
xlstm.layers.0.slstm.Wf.block.bias       | mean: -7.83149e+01 | std:  3.40356e+02 | min: -1.49400e+03 | max:  8.84000e+02
xlstm.layers.0.slstm.Wo.block.weight     | mean:  1.15633e+01 | std:  1.74064e+02 | min: -8.64500e+02 | max:  8.58000e+02
xlstm.layers.0.slstm.Wo.block.bias       | mean: -4.20601e+01 | std:  2.40282e+02 | min: -6.15000e+02 | max:  5.40000e+02
xlstm.layers.0.slstm.Rz.block.weight     | mean: -1.57456e+00 | std:  6.01041e+02 | min: -4.87200e+03 | max:  5.03200e+03
xlstm.layers.0.slstm.Rz.block.bias       | mean:  2.03432e+02 | std:  1.60038e+03 | min: -7.32000e+03 | max:  4.79600e+03
xlstm.layers.0.slstm.Ri.block.weight     | mean: -1.95532e-01 | std:  7.16161e+01 | min: -3.62500e+02 | max:  3.76250e+02
xlstm.layers.0.slstm.Ri.block.bias       | mean: -3.27318e+01 | std:  2.20365e+02 | min: -5.80000e+02 | max:  6.14500e+02
xlstm.layers.0.slstm.Rf.block.weight     | mean: -8.10978e-01 | std:  1.10311e+02 | min: -1.03000e+03 | max:  9.94500e+02
xlstm.layers.0.slstm.Rf.block.bias       | mean: -7.83149e+01 | std:  3.40356e+02 | min: -1.49400e+03 | max:  8.84000e+02
xlstm.layers.0.slstm.Ro.block.weight     | mean:  4.53465e-02 | std:  8.26818e+01 | min: -4.39750e+02 | max:  5.50000e+02
xlstm.layers.0.slstm.Ro.block.bias       | mean: -4.20601e+01 | std:  2.40282e+02 | min: -6.15000e+02 | max:  5.40000e+02
xlstm.layers.0.mlstm.layer_norm.weight   | mean: -1.15453e+02 | std:  4.13167e+02 | min: -1.66774e+03 | max:  9.85688e+02
xlstm.layers.0.mlstm.layer_norm.bias     | mean:  6.93019e+01 | std:  5.69372e+02 | min: -1.24414e+03 | max:  1.76689e+03
xlstm.layers.0.mlstm.causal_conv.conv.weight | mean:  4.61566e+02 | std:  2.34827e+03 | min: -3.25200e+03 | max:  5.26000e+03
xlstm.layers.0.mlstm.causal_conv.conv.bias | mean: -1.36417e+03 | std:  4.81258e+03 | min: -6.89600e+03 | max:  1.86000e+03
xlstm.layers.0.mlstm.Wk.block.weight     | mean: -5.34324e-01 | std:  2.11475e+02 | min: -1.17500e+03 | max:  2.91400e+03
xlstm.layers.0.mlstm.Wk.block.bias       | mean: -1.77318e+00 | std:  2.38756e+02 | min: -6.82500e+02 | max:  1.67400e+03
xlstm.layers.0.mlstm.Wv.block.weight     | mean:  1.69377e+00 | std:  2.64180e+02 | min: -2.24200e+03 | max:  2.48800e+03
xlstm.layers.0.mlstm.Wv.block.bias       | mean:  5.12117e+00 | std:  3.14037e+02 | min: -1.27400e+03 | max:  9.29000e+02
xlstm.layers.0.mlstm.Wi.weight           | mean: -6.21526e-01 | std:  5.73278e+01 | min: -8.29000e+02 | max:  5.84500e+02
xlstm.layers.0.mlstm.Wi.bias             | mean: -1.29847e+00 | std:  5.94877e+01 | min: -3.29250e+02 | max:  2.58750e+02
xlstm.layers.0.mlstm.Wf.weight           | mean: -2.91194e+01 | std:  2.56893e+02 | min: -2.83200e+03 | max:  1.09500e+03
xlstm.layers.0.mlstm.Wf.bias             | mean: -5.03039e+01 | std:  3.01567e+02 | min: -1.12300e+03 | max:  7.65000e+02
xlstm.layers.0.mlstm.Wo.weight           | mean:  9.90162e+00 | std:  1.54287e+02 | min: -7.59500e+02 | max:  7.91500e+02
xlstm.layers.0.mlstm.Wo.bias             | mean: -4.21923e+01 | std:  2.18289e+02 | min: -8.21000e+02 | max:  4.92000e+02
classifier.weight                        | mean:  2.18252e-03 | std:  9.12604e+02 | min: -3.23200e+03 | max:  3.42600e+03
classifier.bias                          | mean:  2.07031e-01 | std:  2.40202e+03 | min: -4.48000e+03 | max:  5.24000e+03

[Gradient Statistics for Epoch 6]
xlstm.layers.0.slstm.layer_norm.weight   | mean:  1.28002e+01 | std:  3.07378e+01 | min: -6.62405e+01 | max:  7.87037e+01
xlstm.layers.0.slstm.layer_norm.bias     | mean: -6.55198e+01 | std:  5.67601e+01 | min: -1.62134e+02 | max:  2.29426e+01
xlstm.layers.0.slstm.causal_conv.conv.weight | mean:  1.18528e+02 | std:  1.29365e+02 | min: -3.37188e+01 | max:  3.50000e+02
xlstm.layers.0.slstm.causal_conv.conv.bias | mean:  1.77871e+03 | std:  1.44152e+03 | min:  1.42125e+02 | max:  2.86000e+03
xlstm.layers.0.slstm.Wz.block.weight     | mean: -2.85540e+01 | std:  1.32552e+03 | min: -1.55280e+04 | max:  7.80400e+03
xlstm.layers.0.slstm.Wz.block.bias       | mean: -3.15729e+02 | std:  1.65700e+03 | min: -6.91200e+03 | max:  3.24200e+03
xlstm.layers.0.slstm.Wi.block.weight     | mean:  9.05584e+00 | std:  4.37303e+01 | min: -1.74125e+02 | max:  1.41125e+02
xlstm.layers.0.slstm.Wi.block.bias       | mean: -4.84934e+01 | std:  2.28691e+02 | min: -6.31000e+02 | max:  6.37000e+02
xlstm.layers.0.slstm.Wf.block.weight     | mean:  2.00255e+01 | std:  6.01304e+01 | min: -2.17375e+02 | max:  3.78750e+02
xlstm.layers.0.slstm.Wf.block.bias       | mean: -1.08563e+02 | std:  3.17052e+02 | min: -1.71400e+03 | max:  9.41000e+02
xlstm.layers.0.slstm.Wo.block.weight     | mean:  1.32725e+00 | std:  1.60114e+02 | min: -7.76500e+02 | max:  5.84500e+02
xlstm.layers.0.slstm.Wo.block.bias       | mean: -5.26398e+01 | std:  2.16805e+02 | min: -5.80000e+02 | max:  3.87500e+02
